"Example
",GDTD,5x5_Dots,"dotOCRDData1
",Dotrice,DotMatrix,DisplayDots,LCDDot,Orario,Transit
ex_50,85.66666742,82.4,33,69,69.3,75.5,69.8,82,66.3
ex_51,61.1428561,91,68,91,87,55,57,92,89
ex_52,87.99999952,27,88,26,59,48,49,29,59
ex_53,95.80000162,90,65.5,94.33333333,96,93.7,93.9,86.7,95
ex_54,86.70000017,0,0,0,0,0,0,0,0
ex_55,98.11111291,90.88888889,47,92,89.25,83.77777778,92.22222222,93.33333333,93.33333333
ex_56,98.37500155,46,83.625,75.75,81.75,69.25,89.875,91.125,89.5
ex_57,99.00000095,0,0,0,0,0,0,0,0
ex_58,86.00000143,69,9,79,84,90,42,70,86
ex_59,0,0,0,0,0,0,0,0,0
ex_5,97.24999915,50.69230769,75.36363636,52.33333333,54.66666667,56.07692308,83.25,45.35714286,68.58333333
ex_60,99.00000095,58,92,75,96,95,96,96,96
ex_61,99.00000095,77,84,25,51,80,96,92,95
ex_62,0,55.28571429,10.6,67,65.42857143,56.71428571,55.14285714,56.14285714,53
ex_63,27.90909089,54.1875,28.47058824,52.66666667,38.22222222,58.17647059,57.26315789,35.06666667,53.75
ex_64,75,44,78,6,0,55,17,8,0
ex_65,98.62500131,72.5,91,82.28571429,81,31.75,69.125,85.375,81.875
ex_66,97.87500054,93.125,68,83.75,17.75,91.875,87.75,88.5,71.75
ex_67,71.79999868,69.875,56,68.375,59.33333333,54.53333333,39.58823529,44,64.625
ex_68,92.71428415,62,59,61.33333333,66,48,79,79,72
ex_69,80.66666772,67,37,3,48,29,34.6,0,0
ex_6,95.24999956,76,10.5,83.54545455,64.58333333,71.41666667,64.16666667,70.33333333,71.08333333
ex_70,60.25000066,71,40,66,66,72,38,37,9
ex_71,0,57.8,55.2,58.4,52,64.83333333,51.33333333,45.42857143,46.83333333
ex_72,71.59999967,74,64,44,87,35,42,84,67
ex_73,97.66666889,69.33333333,65,92.66666667,68.4,69.1,91,93.66666667,85
ex_74,99.00000095,0,0,0,0,0,0,0,0
ex_75,93.18182035,81.66666667,16,84.75,48.8,75,62.09090909,87,79.25
ex_7,96.91666861,86.66666667,29.18181818,80.18181818,88.33333333,90.66666667,78.91666667,86.5,79.91666667
ex_8,96.16666834,85.72727273,87.5,69.72727273,48,57.92307692,75.75,55.30769231,81.75
ex_9,85.50000012,56.6,69.1,51,25.66666667,52.22222222,80.5,69.8,57.3
Average ,77.77239192,57.42470868,46.44860193,56.16077817,54.19003777,56.78521811,53.53085559,57.41343225,56.25934804
