"Example
",No Training,Google Document Text Detection with my image processing,5x5_Dots,"dotOCRDData1
",Dotrice,DotMatrix,DisplayDots,LCDDot,Orario,Transit,Ensemble,Best,Count Best,Worst
ex_23,64.29%,64.29%,85.71%,78.57%,85.71%,57.14%,57.14%,78.57%,85.71%,78.57%,85.71%,85.71%,3,57.14%
ex_24,12.50%,37.50%,75.00%,100.00%,50.00%,87.50%,100.00%,100.00%,100.00%,62.50%,100.00%,100.00%,4,37.50%
ex_25,78.57%,100.00%,85.71%,100.00%,85.71%,85.71%,92.86%,92.86%,85.71%,78.57%,100.00%,100.00%,2,78.57%
ex_26,68.00%,96.00%,96.00%,88.00%,84.00%,84.00%,96.00%,88.00%,88.00%,92.00%,96.00%,96.00%,3,84.00%
ex_27,92.86%,100.00%,85.71%,64.29%,92.86%,92.86%,92.86%,92.86%,92.86%,92.86%,100.00%,100.00%,1,64.29%
ex_28,71.43%,92.86%,92.86%,92.86%,92.86%,92.86%,85.71%,92.86%,92.86%,92.86%,92.86%,92.86%,8,85.71%
ex_29,78.57%,92.86%,85.71%,50.00%,92.86%,85.71%,92.86%,85.71%,85.71%,92.86%,92.86%,92.86%,4,50.00%
ex_2,64.29%,100.00%,64.29%,50.00%,64.29%,57.14%,50.00%,71.43%,50.00%,71.43%,100.00%,100.00%,1,50.00%
ex_30,12.50%,100.00%,37.50%,100.00%,62.50%,37.50%,75.00%,87.50%,62.50%,-12.50%,100.00%,100.00%,2,-12.50%
ex_31,0.00%,85.71%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,85.71%,85.71%,1,0.00%
ex_32,78.57%,100.00%,92.86%,92.86%,92.86%,85.71%,85.71%,85.71%,78.57%,78.57%,100.00%,100.00%,1,78.57%
ex_33,64.29%,71.43%,71.43%,85.71%,78.57%,78.57%,85.71%,71.43%,85.71%,78.57%,85.71%,85.71%,3,71.43%
ex_34,50.00%,92.86%,78.57%,42.86%,78.57%,85.71%,71.43%,85.71%,71.43%,85.71%,92.86%,92.86%,1,42.86%
ex_35,93.33%,100.00%,93.33%,100.00%,93.33%,100.00%,93.33%,86.67%,100.00%,100.00%,100.00%,100.00%,5,86.67%
ex_36,100.00%,90.91%,81.82%,36.36%,90.91%,86.36%,68.18%,100.00%,100.00%,100.00%,90.91%,100.00%,3,36.36%
ex_37,60.00%,90.00%,80.00%,100.00%,80.00%,60.00%,90.00%,60.00%,60.00%,50.00%,90.00%,100.00%,1,50.00%
ex_38,41.18%,94.12%,70.59%,70.59%,52.94%,64.71%,64.71%,76.47%,76.47%,76.47%,94.12%,94.12%,1,52.94%
ex_39,85.71%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,9,100.00%
ex_3,64.29%,100.00%,78.57%,85.71%,78.57%,92.86%,78.57%,92.86%,85.71%,92.86%,100.00%,100.00%,1,78.57%
ex_40,0.00%,87.50%,62.50%,87.50%,25.00%,62.50%,75.00%,62.50%,100.00%,37.50%,87.50%,100.00%,1,25.00%
ex_41,0.00%,80.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,80.00%,80.00%,1,0.00%
ex_42,92.86%,92.86%,92.86%,71.43%,92.86%,85.71%,92.86%,92.86%,92.86%,92.86%,92.86%,92.86%,7,71.43%
ex_43,85.71%,100.00%,92.86%,85.71%,92.86%,92.86%,92.86%,85.71%,100.00%,92.86%,100.00%,100.00%,2,85.71%
ex_44,42.86%,100.00%,64.29%,78.57%,85.71%,85.71%,71.43%,78.57%,78.57%,78.57%,100.00%,100.00%,1,64.29%
ex_45,71.43%,100.00%,92.86%,92.86%,92.86%,85.71%,85.71%,85.71%,64.29%,85.71%,100.00%,100.00%,1,64.29%
ex_46,50.00%,100.00%,50.00%,78.57%,64.29%,78.57%,85.71%,92.86%,92.86%,85.71%,100.00%,100.00%,1,50.00%
ex_47,71.43%,100.00%,100.00%,71.43%,57.14%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,7,57.14%
ex_48,14.29%,0%,28.57%,85.71%,28.57%,57.14%,71.43%,57.14%,85.71%,57.14%,85.71%,86%,2,0%
ex_49,14.29%,100.00%,100.00%,100.00%,100.00%,100.00%,85.71%,85.71%,100.00%,85.71%,100.00%,100.00%,6,85.71%
ex_4,35.71%,92.86%,35.71%,57.14%,42.86%,35.71%,42.86%,21.43%,35.71%,28.57%,92.86%,92.86%,1,21.43%
ex_50,75.00%,75.00%,91.67%,83.33%,83.33%,91.67%,75.00%,100.00%,100.00%,100.00%,75.00%,100.00%,3,75.00%
ex_51,100.00%,57.14%,100.00%,100.00%,100.00%,100.00%,85.71%,85.71%,100.00%,100.00%,100.00%,100.00%,6,57.14%
ex_52,66.67%,88.89%,100.00%,88.89%,66.67%,77.78%,66.67%,77.78%,66.67%,77.78%,88.89%,100.00%,1,66.67%
ex_53,100.00%,100.00%,91.67%,66.67%,91.67%,100.00%,83.33%,100.00%,100.00%,100.00%,100.00%,100.00%,5,66.67%
ex_54,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,1,0.00%
ex_55,100.00%,100.00%,91.67%,83.33%,100.00%,91.67%,58.33%,100.00%,100.00%,100.00%,100.00%,100.00%,5,58.33%
ex_56,90.00%,100.00%,90.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,8,90.00%
ex_57,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,1,0.00%
ex_58,100.00%,100.00%,100.00%,57.14%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,8,57.14%
ex_59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9,0.00%
ex_5,71.43%,100.00%,85.71%,78.57%,78.57%,92.86%,92.86%,100.00%,78.57%,100.00%,100.00%,100.00%,3,78.57%
ex_60,100.00%,100.00%,83.33%,100.00%,83.33%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,7,83.33%
ex_61,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,9,100.00%
ex_62,-83.33%,0.00%,-100.00%,-33.33%,-116.67%,-116.67%,-116.67%,-83.33%,-116.67%,-116.67%,0.00%,0.00%,1,-116.67%
ex_63,-15.00%,-50.00%,35.00%,30.00%,0.00%,-10.00%,-10.00%,-25.00%,40.00%,-30.00%,0.00%,40.00%,1,-50.00%
ex_64,36.36%,81.82%,81.82%,90.91%,63.64%,0.00%,81.82%,81.82%,90.91%,81.82%,90.91%,90.91%,2,0.00%
ex_65,90.00%,100.00%,90.00%,100.00%,90.00%,90.00%,80.00%,100.00%,100.00%,100.00%,100.00%,100.00%,5,80.00%
ex_66,90.00%,80.00%,90.00%,90.00%,90.00%,90.00%,100.00%,90.00%,90.00%,90.00%,100.00%,100.00%,1,80.00%
ex_67,72.22%,88.89%,94.44%,94.44%,88.89%,88.89%,94.44%,83.33%,94.44%,83.33%,94.44%,94.44%,4,83.33%
ex_68,62.50%,100.00%,87.50%,100.00%,75.00%,100.00%,87.50%,100.00%,87.50%,100.00%,100.00%,100.00%,5,75.00%
ex_69,42.86%,100.00%,57.14%,85.71%,85.71%,42.86%,42.86%,71.43%,57.14%,71.43%,100.00%,100.00%,1,42.86%
ex_6,85.71%,100.00%,85.71%,64.29%,92.86%,85.71%,85.71%,85.71%,100.00%,92.86%,100.00%,100.00%,2,64.29%
ex_70,83.33%,0.00%,83.33%,83.33%,83.33%,66.67%,83.33%,83.33%,50.00%,66.67%,83.33%,83.33%,5,0.00%
ex_71,-83.33%,0%,-33.33%,-16.67%,-16.67%,-50.00%,-50.00%,-50.00%,-66.67%,-50.00%,0.00%,0%,1,-67%
ex_72,50.00%,50.00%,66.67%,100.00%,50.00%,100.00%,66.67%,100.00%,100.00%,83.33%,100.00%,100.00%,4,50.00%
ex_73,81.82%,100.00%,81.82%,90.91%,90.91%,72.73%,81.82%,81.82%,90.91%,90.91%,100.00%,100.00%,1,72.73%
ex_74,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,1,0.00%
ex_75,78.57%,92.86%,85.71%,71.43%,85.71%,85.71%,78.57%,78.57%,85.71%,78.57%,92.86%,92.86%,1,71.43%
ex_7,92.86%,100.00%,92.86%,92.86%,92.86%,92.86%,92.86%,92.86%,100.00%,100.00%,100.00%,100.00%,3,92.86%
ex_8,92.86%,92.86%,85.71%,92.86%,85.71%,92.86%,85.71%,92.86%,92.86%,92.86%,92.86%,92.86%,6,85.71%
ex_9,16.67%,100.00%,58.33%,91.67%,83.33%,66.67%,66.67%,83.33%,75.00%,83.33%,100.00%,100.00%,1,58.33%
Average ,55.14%,78.90%,68.11%,69.79%,67.08%,65.43%,66.18%,70.17%,69.29%,67.49%,86.81%,88.76%,,
Perfect,9,36,8,15,9,14,9,19,24,21,41,47,,
